"Sex","Ethnicity","Legal_Status","Custody_Status","Marital_Status","Decile_Score"
"Male","Caucasian","Pretrial","Jail Inmate","Single",0.272727272727273
"Male","Caucasian","Pretrial","Jail Inmate","Married",0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single",0.818181818181818
"Female","African-American","Pretrial","Jail Inmate","Significant Other",0.636363636363636
"Female","African-American","Pretrial","Jail Inmate","Single",0.272727272727273
"Male","Hispanic","Pretrial","Jail Inmate","Single",1
"Female","Caucasian","Pretrial","Jail Inmate","Single",0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single",0.909090909090909
"Male","Other","Pretrial","Jail Inmate","Married",0.272727272727273
"Male","Caucasian","Pretrial","Jail Inmate","Single",0.272727272727273
"Male","African-American","Pretrial","Jail Inmate","Single",0.727272727272727
"Male","Caucasian","Pretrial","Jail Inmate","Single",0.181818181818182
"Female","Caucasian","Pretrial","Jail Inmate","Married",0.181818181818182
"Female","African-American","Pretrial","Jail Inmate","Single",0.454545454545455
"Female","African-American","Pretrial","Jail Inmate","Single",0.636363636363636
"Male","African-American","Pretrial","Jail Inmate","Married",0.181818181818182
"Male","Caucasian","Pretrial","Jail Inmate","Single",0.272727272727273
"Male","Caucasian","Pretrial","Jail Inmate","Single",0.545454545454545
"Male","Caucasian","Post Sentence","Probation","Single",0.363636363636364
"Male","African-American","Post Sentence","Probation","Single",0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Married",0.727272727272727
"Female","Caucasian","Pretrial","Jail Inmate","Single",0.454545454545455
"Male","Caucasian","Pretrial","Jail Inmate","Single",0.272727272727273
"Female","African-American","Pretrial","Jail Inmate","Single",0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single",0.909090909090909
"Male","Caucasian","Post Sentence","Probation","Single",0.727272727272727
"Male","African-American","Pretrial","Jail Inmate","Single",0.909090909090909
"Male","Caucasian","Post Sentence","Probation","Single",0.909090909090909
"Male","African-American","Post Sentence","Probation","Single",0.909090909090909
"Male","African-American","Pretrial","Jail Inmate","Single",0.909090909090909
"Female","Caucasian","Pretrial","Jail Inmate","Single",0.818181818181818
"Male","African-American","Pretrial","Pretrial Defendant","Single",0.181818181818182
"Male","Caucasian","Pretrial","Residential Program","Married",0.181818181818182
"Female","Caucasian","Pretrial","Jail Inmate","Single",0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single",0.272727272727273
"Male","African-American","Pretrial","Jail Inmate","Single",0.636363636363636
"Male","Caucasian","Post Sentence","Probation","Divorced",0.363636363636364
"Male","Caucasian","Post Sentence","Probation","Single",0.545454545454545
"Female","African-American","Pretrial","Jail Inmate","Single",0.909090909090909
"Male","African-American","Pretrial","Jail Inmate","Single",0.727272727272727
"Male","African-American","Conditional Release","Probation","Single",0.909090909090909
"Female","African-American","Pretrial","Jail Inmate","Single",0.181818181818182
"Male","Other","Pretrial","Jail Inmate","Married",0.181818181818182
"Male","Caucasian","Pretrial","Pretrial Defendant","Single",0.363636363636364
"Female","African-American","Pretrial","Jail Inmate","Single",0.636363636363636
"Male","Caucasian","Pretrial","Jail Inmate","Single",0.909090909090909
"Male","African-American","Pretrial","Jail Inmate","Divorced",0.636363636363636
"Male","African-American","Pretrial","Jail Inmate","Single",0.909090909090909
"Male","Caucasian","Post Sentence","Probation","Single",0.181818181818182
"Male","African-American","Post Sentence","Probation","Single",0.363636363636364
"Male","African-American","Pretrial","Jail Inmate","Single",0.272727272727273
"Female","Hispanic","Pretrial","Jail Inmate","Divorced",0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Married",0.181818181818182
"Male","Hispanic","Pretrial","Jail Inmate","Single",0.545454545454545
"Female","African-American","Post Sentence","Probation","Single",0.545454545454545
"Male","African-American","Pretrial","Jail Inmate","Married",0.181818181818182
"Male","Caucasian","Pretrial","Jail Inmate","Married",0.181818181818182
"Male","Caucasian","Post Sentence","Probation","Divorced",0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single",0.272727272727273
"Female","Caucasian","Pretrial","Pretrial Defendant","Single",0.363636363636364
"Male","Hispanic","Pretrial","Jail Inmate","Married",0.363636363636364
"Male","African-American","Pretrial","Jail Inmate","Single",0.727272727272727
"Male","African-American","Pretrial","Jail Inmate","Single",0.545454545454545
