"Sex","Ethnicity","Legal_Status","Custody_Status","Marital_Status","Recidivism_Supervision_Level","Raw_Score"
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.447916666666667
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.35625
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.70625
"Female","African-American","Pretrial","Jail Inmate","Significant Other","Medium",0.558333333333333
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.345833333333333
"Male","Hispanic","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.816666666666667
"Female","Caucasian","Pretrial","Jail Inmate","Single","Low",0.30625
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.747916666666667
"Male","Other","Pretrial","Jail Inmate","Married","Low",0.416666666666667
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.395833333333333
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.68125
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.322916666666667
"Female","Caucasian","Pretrial","Jail Inmate","Married","Low",0.320833333333333
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.460416666666667
"Female","African-American","Pretrial","Jail Inmate","Single","Medium",0.55
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.229166666666667
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.4
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.59375
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.5125
"Male","African-American","Post Sentence","Probation","Single","Low",0.347916666666667
"Male","African-American","Pretrial","Jail Inmate","Married","Medium",0.664583333333333
"Female","Caucasian","Pretrial","Jail Inmate","Single","Low",0.48125
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.422916666666667
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.295833333333333
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.733333333333333
"Male","Caucasian","Post Sentence","Probation","Single","Medium",0.66875
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.76875
"Male","Caucasian","Post Sentence","Probation","Single","High",0.770833333333333
"Male","African-American","Post Sentence","Probation","Single","Medium with Override Consideration",0.7875
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.754166666666667
