"Sex","Ethnicity","Age","Legal_Status","Custody_Status","Marital_Status","Decile_Score"
"Male","Caucasian",32,"Pretrial","Jail Inmate","Single",2
"Male","Caucasian",40,"Pretrial","Jail Inmate","Married",1
"Male","African-American",30,"Pretrial","Jail Inmate","Single",8
"Female","African-American",30,"Pretrial","Jail Inmate","Married",6
"Female","African-American",39,"Pretrial","Jail Inmate","Single",2
"Male","Hispanic",41,"Pretrial","Jail Inmate","Single",10
"Female","Caucasian",36,"Pretrial","Jail Inmate","Single",1
"Male","African-American",31,"Pretrial","Jail Inmate","Single",9
"Male","Other",52,"Pretrial","Jail Inmate","Married",2
"Male","Caucasian",38,"Pretrial","Jail Inmate","Single",2
"Male","African-American",31,"Pretrial","Jail Inmate","Single",7
"Male","Caucasian",45,"Pretrial","Jail Inmate","Single",1
"Female","Caucasian",46,"Pretrial","Jail Inmate","Married",1
"Female","African-American",36,"Pretrial","Jail Inmate","Single",4
"Female","African-American",45,"Pretrial","Jail Inmate","Single",6
"Male","African-American",54,"Pretrial","Jail Inmate","Married",1
"Male","Caucasian",33,"Pretrial","Jail Inmate","Single",2
"Male","Caucasian",39,"Pretrial","Jail Inmate","Single",5
"Male","Caucasian",40,"Post Sentence","Probation","Single",3
"Male","African-American",49,"Post Sentence","Probation","Single",1
"Male","African-American",51,"Pretrial","Jail Inmate","Married",7
"Female","Caucasian",44,"Pretrial","Jail Inmate","Single",4
"Male","Caucasian",35,"Pretrial","Jail Inmate","Single",2
"Female","African-American",45,"Pretrial","Jail Inmate","Single",1
"Male","African-American",49,"Pretrial","Jail Inmate","Single",9
"Male","Caucasian",46,"Post Sentence","Probation","Single",7
"Male","African-American",36,"Pretrial","Jail Inmate","Single",9
"Male","Caucasian",32,"Post Sentence","Probation","Single",9
"Male","African-American",30,"Post Sentence","Probation","Single",9
"Male","African-American",36,"Pretrial","Jail Inmate","Single",9
"Female","Caucasian",36,"Pretrial","Jail Inmate","Single",8
"Male","African-American",36,"Pretrial","Pretrial Defendant","Single",1
"Male","Caucasian",36,"Pretrial","Residential Program","Married",1
"Female","Caucasian",50,"Pretrial","Jail Inmate","Single",1
"Male","African-American",37,"Pretrial","Jail Inmate","Single",2
"Male","African-American",33,"Pretrial","Jail Inmate","Single",6
"Male","Caucasian",36,"Post Sentence","Probation","Divorced",3
"Male","Caucasian",47,"Post Sentence","Probation","Single",5
"Female","African-American",37,"Pretrial","Jail Inmate","Single",9
"Male","African-American",41,"Pretrial","Jail Inmate","Single",7
"Male","African-American",35,"Conditional Release","Probation","Single",9
"Female","African-American",36,"Pretrial","Jail Inmate","Single",1
"Male","Other",41,"Pretrial","Jail Inmate","Married",1
"Male","Caucasian",47,"Pretrial","Pretrial Defendant","Single",3
"Female","African-American",46,"Pretrial","Jail Inmate","Single",6
"Male","Caucasian",32,"Pretrial","Jail Inmate","Single",9
"Male","African-American",39,"Pretrial","Jail Inmate","Divorced",6
"Male","African-American",37,"Pretrial","Jail Inmate","Single",9
"Male","Caucasian",36,"Post Sentence","Probation","Single",1
"Male","African-American",43,"Post Sentence","Probation","Single",3
"Male","African-American",53,"Pretrial","Jail Inmate","Single",2
"Female","Hispanic",47,"Pretrial","Jail Inmate","Divorced",1
"Male","African-American",36,"Pretrial","Jail Inmate","Married",1
"Male","Hispanic",38,"Pretrial","Jail Inmate","Single",5
"Female","African-American",42,"Post Sentence","Probation","Single",5
"Male","African-American",51,"Pretrial","Jail Inmate","Married",1
"Male","Caucasian",36,"Pretrial","Jail Inmate","Married",1
"Male","Caucasian",36,"Post Sentence","Probation","Divorced",1
"Male","African-American",36,"Pretrial","Jail Inmate","Single",2
"Female","Caucasian",33,"Pretrial","Pretrial Defendant","Single",3
"Male","Hispanic",55,"Pretrial","Jail Inmate","Married",3
"Male","African-American",36,"Pretrial","Jail Inmate","Single",7
"Male","African-American",34,"Pretrial","Jail Inmate","Single",5
"Male","Caucasian",36,"Pretrial","Jail Inmate","Married",1
"Male","African-American",33,"Pretrial","Jail Inmate","Single",6
"Male","African-American",33,"Pretrial","Jail Inmate","Single",2
"Female","African-American",39,"Post Sentence","Probation","Single",5
