"Sex","Ethnicity","Legal_Status","Custody_Status","Marital_Status","Recidivism_Supervision_Level","Raw_Score","Decile_Score"
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.447916666666667,0.272727272727273
"Male","Caucasian","Pretrial","Jail Inmate","Married","Low",0.35625,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.70625,0.818181818181818
"Female","African-American","Pretrial","Jail Inmate","Significant Other","Medium",0.558333333333333,0.636363636363636
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.345833333333333,0.272727272727273
"Male","Hispanic","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.816666666666667,1
"Female","Caucasian","Pretrial","Jail Inmate","Single","Low",0.30625,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.747916666666667,0.909090909090909
"Male","Other","Pretrial","Jail Inmate","Married","Low",0.416666666666667,0.272727272727273
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.395833333333333,0.272727272727273
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.68125,0.727272727272727
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.322916666666667,0.181818181818182
"Female","Caucasian","Pretrial","Jail Inmate","Married","Low",0.320833333333333,0.181818181818182
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.460416666666667,0.454545454545455
"Female","African-American","Pretrial","Jail Inmate","Single","Medium",0.55,0.636363636363636
"Male","African-American","Pretrial","Jail Inmate","Married","Low",0.229166666666667,0.181818181818182
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.4,0.272727272727273
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.59375,0.545454545454545
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.5125,0.363636363636364
"Male","African-American","Post Sentence","Probation","Single","Low",0.347916666666667,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Married","Medium",0.664583333333333,0.727272727272727
"Female","Caucasian","Pretrial","Jail Inmate","Single","Low",0.48125,0.454545454545455
"Male","Caucasian","Pretrial","Jail Inmate","Single","Low",0.422916666666667,0.272727272727273
"Female","African-American","Pretrial","Jail Inmate","Single","Low",0.295833333333333,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","High",0.733333333333333,0.909090909090909
"Male","Caucasian","Post Sentence","Probation","Single","Medium",0.66875,0.727272727272727
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.76875,0.909090909090909
"Male","Caucasian","Post Sentence","Probation","Single","High",0.770833333333333,0.909090909090909
"Male","African-American","Post Sentence","Probation","Single","Medium with Override Consideration",0.7875,0.909090909090909
"Male","African-American","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.754166666666667,0.909090909090909
"Female","Caucasian","Pretrial","Jail Inmate","Single","Medium with Override Consideration",0.645833333333333,0.818181818181818
"Male","African-American","Pretrial","Pretrial Defendant","Single","Low",0.34375,0.181818181818182
"Male","Caucasian","Pretrial","Residential Program","Married","Low",0.125,0.181818181818182
"Female","Caucasian","Pretrial","Jail Inmate","Single","Low",0.272916666666667,0.181818181818182
"Male","African-American","Pretrial","Jail Inmate","Single","Low",0.458333333333333,0.272727272727273
"Male","African-American","Pretrial","Jail Inmate","Single","Medium",0.633333333333333,0.636363636363636
"Male","Caucasian","Post Sentence","Probation","Divorced","Low",0.460416666666667,0.363636363636364
"Male","Caucasian","Post Sentence","Probation","Single","Low",0.570833333333333,0.545454545454545
